time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.02586725772e-07,-5.91903617343e-08,10.0061654525,6.2828524137,6.28300385865,0.0,1.31336404067e-05,-1.76446194949e-05,0.205499844285,-0.019967754355,-0.00988756517841,0.0,469.6997375055042,468.9324965426562,469.8227057955398,468.27235087261016
0.12000000000000001,6.41967346636e-06,-1.35348814175e-05,10.0250887491,6.2823185206,0.000124922884943,0.0,0.000202478852662,-0.000527887671075,0.425220176581,0.00712432943233,0.0249695570777,0.0,471.9511041685338,474.63339970202514,472.53026981762076,474.61389028673614
0.18,1.13312152731e-05,-5.88824219655e-05,10.0506464313,6.28303936622,0.00116521806752,0.0,-0.000156625269879,-0.000932232465338,0.426701963032,0.0203383836832,-0.00582700920094,0.0,406.25647450119834,403.4861072317565,403.79601052221255,404.9860264262653
0.23999999999999996,-2.18089630545e-05,-0.00011320042615,10.0794301051,0.000996972303273,0.00143243223546,0.0,-0.000949307516075,-0.000756648520407,0.53270976902,0.0163355842507,0.0196195240989,0.0,438.22275789294486,440.332534227481,438.90944319891133,438.57712080400944
0.3,-0.00010942895147,-0.000136309523824,10.1122722819,0.00239965339437,0.00217874702893,0.0,-0.00206541456134,9.79517143201e-05,0.56201493587,0.034662537145,-0.00852348303356,0.0,415.3146717529103,412.8392274079099,413.4517415099898,415.0631357314219
0.36000000000000004,-0.000274752322495,-7.509410341e-05,10.1482333387,0.00434729078877,0.00136998892944,0.0,-0.0033829058085,0.00214070417024,0.636647391254,0.0276476501912,-0.0259094264923,0.0,429.4800385602273,428.0031878662369,429.79390866412194,429.19948001695354
0.4200000000000001,-0.000502238260195,0.000159114814777,10.1915164475,0.00586815647709,6.2827684164,0.0,-0.00401385380044,0.00584478381799,0.806017679156,0.0202985449164,-0.0389381812652,0.0,459.8517987017774,458.81844733987,458.60966633186683,458.02573956103294
0.48000000000000015,-0.000725113155218,0.00063908329445,10.2434425036,0.00674428307715,6.28051206136,0.0,-0.00317490917574,0.0102670453763,0.924760895251,-0.000339939545454,-0.0350669080017,0.0,443.56309486951295,443.8801818823508,444.10432890423925,442.4084040602109
0.5400000000000001,-0.000841267331649,0.00141914157334,10.3055450023,0.00704344738697,6.27841556596,0.0,-0.000445842525487,0.0157523010746,1.14512680382,0.0139394633085,-0.0346921779748,0.0,474.10420225879915,474.1325507696739,474.21016526409693,475.3055749928445
0.6000000000000002,-0.000751569261887,0.00252740979423,10.3791651832,0.00837521776577,6.2761687221,0.0,0.00367525789404,0.0213135942398,1.30870387299,0.0350089380295,-0.0436207234309,0.0,457.8250977773067,457.1135891265713,457.5862264536794,459.2602531498139
0.6600000000000003,-0.000385241179122,0.00397706442891,10.4595061459,0.0106359396348,6.27384250874,0.0,0.00877146080101,0.0272177220088,1.36925352363,0.0425438623712,-0.0305050140618,0.0,424.58894474067694,425.7117234490009,426.40792614831986,427.0517997856276
0.7200000000000003,0.000327845479352,0.00582425804941,10.5432870184,0.0129892967215,6.27176954109,0.0,0.0151817902821,0.0345891228137,1.4233714492,0.0315803578542,-0.0441990352326,0.0,425.0067626449074,423.83094094500655,424.0628656294883,423.12098790999016
0.7800000000000004,0.00151254422394,0.0082064504306,10.6340151539,0.015095767408,6.26885235031,0.0,0.0246191106259,0.0450419475988,1.60066110693,0.0413637851731,-0.0593779928781,0.0,462.9962681393215,461.7991895931679,462.7858137215833,463.5556437922531
0.8400000000000004,0.00332436953415,0.011256333065,10.7347328144,0.0172847823784,6.26479641194,0.0,0.0361805733204,0.056877249171,1.75635697629,0.0242990005758,-0.0940414655528,0.0,458.2969668582419,455.5298967549135,457.3003398965466,455.9396598508413
0.9000000000000005,0.00604604520949,0.0151680878901,10.8508125555,0.0194533673765,6.25940149266,0.0,0.0553009606115,0.073767029544,2.11235935639,0.0529748941349,-0.082733844153,0.0,514.3355653278248,515.1301090135252,513.5521119200365,515.5822954599447
0.9600000000000005,0.0098632292334,0.019999868281,10.9801443889,0.022535499668,6.25532507751,0.0,0.0723764070957,0.0876018005847,2.19852079392,0.0479474243955,-0.0482658951301,0.0,435.831922618442,438.69908681673144,436.85415818793996,436.4365038140735
1.0200000000000005,0.0149314081192,0.0258451925557,11.119939822,0.0250441326958,6.25250459081,0.0,0.096907832065,0.107574422022,2.46077979196,0.0252461971174,-0.0446050101846,0.0,490.19721218822735,490.4680643554337,491.0187171110175,489.3325070391711
1.0800000000000005,0.0213697009678,0.0328060609621,11.2699267139,0.0262317136192,6.24985309184,0.0,0.117959446082,0.124586231312,2.53859919617,0.00570571203271,-0.0433777278866,0.0,434.8289017176232,434.93054510999133,437.6892845888042,436.0600122917625
1.1400000000000006,0.0291502818851,0.040829514623,11.4253788107,0.0275783077651,6.24772474987,0.0,0.141624280766,0.142954458774,2.64288806062,0.0438142783441,-0.0230935379605,0.0,444.2457031839603,445.9051664325586,442.6743427225346,445.799190223728
1.2000000000000006,0.0382352758978,0.0498682085251,11.5827410122,0.0299997885286,6.24665720827,0.0,0.161309993798,0.15854350879,2.60259889269,0.0323528442303,-0.00887537639295,0.0,395.8922378559217,397.19832688718253,398.60941922974814,397.5616710267333
1.2600000000000007,0.0486972041143,0.0600294908594,11.7426113076,0.0317541281825,6.24610096118,0.0,0.187467128486,0.180352349544,2.72611221037,0.0221438909367,-0.0100735743791,0.0,451.5392573849258,451.4427110110431,450.94326116534126,450.1180877757411
