episode,rewards_total
885,26.2495299674
886,26.2495322524
887,26.2495303539
888,26.2495307478
889,26.2495174045
890,26.249530135
891,26.2495183208
892,26.2495317186
893,26.249520035
894,26.2495281352
895,26.2495303453
896,26.2495294445
897,26.2495304303
898,26.2495189091
899,26.2495276391
900,26.2495297149
901,26.2495202539
902,26.2495280351
903,26.2495294532
904,26.2495321229
905,26.2495145925
906,26.2495294177
907,26.2495290041
908,26.2495330935
909,26.2495297076
910,26.2495303074
911,26.2495175761
912,26.2495333385
913,26.2495281997
914,26.2495302646
915,26.2495317253
916,26.2495316395
917,26.2495304358
918,26.2495307268
919,26.2495287491
920,26.2495295468
921,26.2495305816
922,26.249531623
923,26.2495309046
924,26.2495293185
925,26.2495168854
926,26.2495197268
927,26.249516398
928,26.2495176148
929,26.2495128169
930,26.2495330671
931,26.2495293544
932,26.2495267096
933,26.2495280853
934,26.2495166814
935,26.2495138951
936,26.2495296548
937,26.2495289806
938,26.2495298006
939,26.2495314475
940,26.2495310054
941,26.2495294164
942,26.2495174296
943,26.2495314307
944,26.2495221427
945,26.2495282121
946,26.2495127901
947,26.2495300531
948,26.2495316596
949,26.2495304707
950,26.2495282311
951,26.2495286416
952,26.2495140947
953,26.2495276798
954,26.2495291773
955,26.2495306234
956,26.2495201891
957,26.2495176381
958,26.2495324698
959,26.2495159187
960,26.2495306123
961,26.2495301909
962,26.2495303055
963,26.2495305384
964,26.2495320216
965,26.2495155319
966,26.2495260537
967,26.249526379
968,26.2495160749
969,26.2495148863
970,26.2495309268
971,26.2495295417
972,26.2495279914
973,26.2495276548
974,26.2495309014
975,26.2495295626
976,26.2495277803
977,26.2495174099
978,26.2495280691
979,26.2495263813
980,26.2495291186
981,26.2495306557
982,26.249527634
983,26.2495284629
984,26.2495321223
985,26.2495134071
986,26.2495308123
987,26.2495208965
988,26.2495323293
989,26.2495274989
990,26.2495148136
991,26.2495269222
992,26.2495162697
993,26.2495280371
994,26.2495306769
995,26.2495300849
996,26.2495311284
997,26.2495299243
998,26.2495323609
999,26.2495301033
1000,26.2495320488
